,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
COX4I2,0,2,0,11,7,0
BPIFA3,1,0,0,0,0,0
ZNF341,580,577,424,267,355,356
GGT7,356,445,603,832,1093,352
DEFB118,0,0,0,0,0,0
ACSS2,6455,6387,3709,5177,5954,3421
EDA2R,557,460,583,707,772,464
ARHGEF9,551,627,530,757,1060,516
C1QL1,2,5,2,22,12,3
GFAP,13,12,14,34,9,9
PYY,0,3,0,4,8,2
HIGD1B,1,1,3,4,7,1
ATP6V1E1,6065,6072,5775,3722,3567,5857
ZNF227,439,472,390,447,518,376
ZNF428,398,435,304,284,313,348
TEX101,0,0,0,25,0,4
ZNF141,295,287,440,742,780,139
CCL25,0,0,0,0,0,0
COX4I1,10206,10610,8715,6812,6612,10639
EMC8,1848,1763,1393,761,766,1750
GSE1,1607,1824,1845,1158,1239,950
AC010531.1,44,0,38,0,39,55
GINS2,615,762,338,103,94,532
CHMP1A,6084,6253,6171,3741,3878,5977
SH3BGRL,2815,2868,2128,3028,3316,2846
COX7B,3080,3283,2452,2660,2021,2951
SLC34A1,0,1,0,7,15,1
F12,128,132,171,259,204,480
PRR7,355,307,259,190,285,916
NFATC1,283,293,288,278,213,168
IDO1,323,607,4822,182,169,189
GJA9,0,46,5,12,0,36
CAP1,41127,39672,30185,14158,12383,39374
PPT1,7701,7260,4984,2949,3560,5780
RAB11FIP4,2432,2482,2031,1346,1746,1368
RLIM,1222,1293,1800,907,1155,1604
CDX4,0,0,0,0,0,0
ABCB7,753,667,431,604,581,525
TRAF3,1005,886,967,560,583,1274
HAUS8,305,429,258,187,236,279
ADGRE3,1,2,0,12,12,5
MRPS25,3823,4033,2001,2848,3244,2643
SH3BP5,380,306,350,632,667,414
HACL1,1451,1447,1037,805,1013,1271
TBC1D5,1350,1565,1128,1327,1662,946
CAPN7,2169,2175,2240,2067,2585,1784
RFTN1,2389,2581,1829,1412,1830,1790
C3orf20,0,0,5,0,0,0
RBSN,1504,1848,1365,1946,2120,1079
GALNT15,0,7,26,37,17,39
SLC6A6,1765,1869,1677,1790,3023,775
KCNC3,33,28,34,30,48,13
NAPSA,46237,47423,19647,63791,80219,18307
NAPSB,11,5,101,5,18,120
NR1H2,5694,5542,6568,4886,6293,4275
LRRC4B,0,0,7,0,7,2
PDLIM4,5438,4974,4149,1983,1929,3671
KIF3A,985,929,534,577,792,800
MGAT1,8295,8273,10030,6199,6935,11164
GFPT2,324,355,343,322,551,532
TUBG1,5966,5902,3966,1992,2223,5474
PSME3,13644,13784,9386,3961,4017,11868
RPL27,7390,8179,5895,4903,4174,8671
PSMC3IP,190,196,162,83,99,140
AOC3,4,5,20,48,59,4
ACLY,14729,14350,8927,5134,6080,20876
VPS25,2722,2790,2310,1457,1450,2259
RAMP2,3,0,1,7,12,3
AOC2,42,28,82,32,64,46
G6PC,0,3,0,0,0,0
AC091132.1,0,3,7,5,0,0
NDUFA2,1920,2042,1599,1780,1666,1672
ANKHD1,3414,3978,4983,5896,6339,3385
DIAPH1,9554,9972,7501,4295,4335,6985
NDFIP1,7730,8039,5994,4572,5670,4652
UBE2D2,4330,4355,3253,2709,2677,3741
TTTY6,0,0,0,0,0,0
TTTY6B,0,0,0,0,0,0
EXOC4,2783,2479,2931,2620,3011,2343
ACAP3,2218,2418,3638,2014,1866,3259
C1orf159,1111,992,1730,708,712,1010
ANO1,336,510,686,48,143,3206
PPFIA1,2629,2655,2792,1565,1872,2123
TMEM204,34,15,117,118,150,76
KREMEN2,4,3,22,14,19,114
THOC6,1479,1404,952,1159,1408,784
TRAF7,2490,2709,2570,1176,1344,3448
BARX1,1,1,0,2,0,6
NINJ1,5477,5717,3157,3351,4186,3325
CA6,0,0,0,41,0,0
NPHP4,649,647,566,604,762,506
MAP1B,319,336,683,998,756,1559
RHOXF2,1,0,0,15,6,0
IL13RA1,10662,9931,8030,6905,8207,6851
WDR44,1708,1439,1024,1005,586,1264
CKMT2,2,4,13,34,32,7
ZCCHC9,734,755,736,584,619,491
KRT34,14,3,14,7,12,33
KRT33B,1,1,1,2,2,3
TNS4,750,854,1419,685,635,3829
TOP2A,3208,4378,1841,990,699,3249
STARD3,1853,1958,2528,1213,1368,1402
RARA,603,627,706,597,897,444
PPP1R1B,87,94,166,2579,3086,15
KHDRBS3,801,735,473,270,454,396
CHD1L,2711,2870,1661,1199,1269,2936
PEX11B,2292,2397,1719,1719,1856,2379
FMO5,1451,1590,760,2151,2320,570
PIAS3,4091,4283,6509,4617,5252,4686
PRKAB2,994,918,1033,1006,1235,965
CLUHP3,321,507,1161,466,475,221
FSHB,0,0,0,0,0,0
PDHA1,5006,5175,3533,2797,2997,5011
RAI2,8,6,2,19,0,24
MCCC2,4615,4867,3417,3194,3173,4884
AC005261.1,505,406,573,465,512,386
ZSCAN5A,292,374,240,144,166,135
ZNF132,290,265,197,334,458,138
USP29,0,0,0,0,0,0
SELENOS,3657,3620,3975,2470,2572,3357
CHSY1,807,834,832,1089,1340,1780
